Code,Name,결산월,상장일,60개월베타,60개월로그베타,시가총액,시가총액,자본총계,자산총계,자산총계,우선주자본금,"P/E(Adj., FY End)","P/B(Adj., FY End)","P/S(Adj., FY End)",EV/EBITDA,매출액,매출총이익,영업이익,당기순이익,ROA,ROA,ROE,ROIC,영업활동으로인한현금흐름,영업활동으로인한현금흐름,비유동부채,비유동부채,자산총계,자산총계,유동비율,유동비율,매출총이익률,매출총이익률,총자산회전율,총자산회전율,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가
A000950,전방,12,19681021,0.576269,0.614777,315.84,294,1637.9,353108851,331028831,,3.98,0.26,0.16,4,275887165,32758358,18826724,107.77,0.32,3.15,6.61,2.92,210.08,234.92,67317028,62126944,3531.09,3310.29,93.69,110.35,15.21,11.87,0.77436,0.80653,17500,17100,18700,19350,19300,20100,18700,27850,28000,25800,26700,27100,26400
A000970,한국주철관,3,19691212,0.609845,0.595774,493,502,730.29,138754067,152937086,,6.73,0.83,0.48,1.21,134771144,16581312,6758791,95.2,6.77,6.53,13.52,11.05,240.05,32.46,26684916,20273662,1387.54,1529.37,230.01,204.8,14.09,12.3,0.97528,0.92407,2092,1792,1776,1955,1642,1551,1617,1809,1942,1646,1742,1813,1834
A000980,극동건설,12,19761213,0.351213,0.339052,30.61,48.81,1720.17,765397612,841539037,4.12,0.29,0.02,0.01,12.87,401854027,50621807,14522850,114.13,-7.37,1.42,15.06,2.82,79.56,167.23,641630240,561079364,7653.98,8415.39,387.49,425.95,10.2,12.6,0.54041,0.50015,4800,6300,8210,8200,8640,3450,3700,4830,4875,4650,4050,4990,6610
A000990,DB하이텍,12,19751212,0.938408,0.943769,607.74,800.28,2881.19,715165215,837379964,,4.78,0.2,0.09,6,559780284,155979614,44443887,103.04,0.52,1.33,3.92,5.02,-70.64,614.93,142799872,199952482,7151.65,8373.8,90.31,86.21,23.48,27.86,0.73192,0.72111,8060,6910,6900,6210,5260,6000,7000,7100,7870,7100,7690,8200,10100
A001000,신라섬유,12,19960701,0.794892,0.391618,28.2,229.5,239.49,56995239,53805857,,-1.32,0.12,0.11,-27.07,26212179,1227257,-2275750,-21.35,0.02,-3.85,-8.56,-5.19,29.72,-10.89,3363368,2783230,569.95,538.06,65.8,64.26,8.01,4.68,0.73498,0.47314,1530,2270,1930,1450,2220,2200,2300,2830,2720,2400,2670,2320,2180
A001020,페이퍼코리아,12,19760626,1.125242,0.97012,67.79,56.83,-1762.08,392270741,312300670,,-0.08,-0.04,0.04,-15.03,170605021,19671775,-3016808,-916.49,-37.02,-26.02,76.72,-1.29,97.22,-52.14,53320573,36664503,3922.71,3123.01,22.74,14.1,9.92,11.53,0.41155,0.48428,3763,3730,4506,5981,3585,2179,1535,2080,2307,2357,1367,1683,2030
A001030,리젠트화재해상보험,3,19620713,1.139463,1.090222,201.6,131.64,-692.14,349237188,320675597,50,-0.23,-0.32,0.05,-0.06,355988167,,-83175543,-833.14,-0.55,-24.87,310.79,,-279.7,-254.45,,,3492.37,3206.76,,,0,0,1.34795,1.06279,3490,3100,2975,2540,1600,1210,1100,2195,1230,860,650,530,445
A001040,CJ,12,19730629,1.187481,1.17439,23050.29,11181.65,13166.84,2364544225,2620858220,269.24,24.76,2.3,1.34,9.48,2206773428,605582574,171784111,1192.54,4.61,4.78,10.06,7.38,2118.27,2343.64,553950172,459318632,23645.44,26208.58,77.82,67.34,24.87,27.44,1.01608,0.88529,54397,49500,49500,43006,35448,33692,32468,39281,46892,36726,41516,49127,45561
A001060,JW중외제약,12,19760614,0.888474,0.916705,653.51,544.19,1196.63,288144108,332732055,5.41,5.42,0.54,0.3,3.64,183213582,75703501,24139521,100.58,1.6,3.24,8.9,6.14,156.52,121.4,86262692,97810688,2881.44,3327.32,188.37,207.5,39.58,41.32,0.64214,0.59018,2606,2186,2101,2101,1683,1737,1766,2269,2275,1944,1974,2240,2123
A001070,대한방직,12,19731228,1.053741,1.118222,110.24,66.14,1225.57,509702276,477901054,,-0.67,0.2,0.07,-1348.68,356821219,10119836,-6467690,-364.13,-10.82,-7.37,-25.86,-2.77,131.93,266.42,110081189,83279615,5097.02,4779.01,90.61,72.15,3.17,2.84,0.48621,0.7226,1248,1050,1760,1450,1500,2960,5900,9400,7600,7360,5430,5480,4470
A001080,만호제강,6,19770618,0.256721,0.3198,240.28,311.25,595.59,129062043,119904683,,14.28,0.8,0.52,6.27,107161718,21639832,9319457,38.81,0.71,3.12,7.14,10.78,123.47,131.8,22213995,13102397,1290.62,1199.05,92.29,81.9,19.89,20.19,0.79704,0.86085,7500,6280,6040,6120,6120,8800,6250,7590,7320,6300,6860,7220,7000
